payer_country_encoder,date,p10,p50,p90,mean
128,2023-04-23,0.0,0.0,480.0,149.21
128,2023-04-24,0.0,0.0,442.0,132.195400390625
128,2023-04-25,0.0,0.0,590.0,195.7016000366211
128,2023-04-26,0.0,0.0,782.0,221.2
128,2023-04-27,0.0,0.0,700.0,177.02
128,2023-04-28,0.0,0.0,573.0,145.63
128,2023-04-29,0.0,0.0,488.0,120.27
128,2023-04-30,0.0,0.0,930.0,184.33
128,2023-05-01,0.0,0.0,561.0,216.26529968261718
128,2023-05-02,0.0,0.0,782.0,175.1116000366211
128,2023-05-03,0.0,0.0,639.0,168.34
128,2023-05-04,0.0,0.0,780.0,182.48
128,2023-05-05,0.0,0.0,567.0,164.71
128,2023-05-06,0.0,0.0,597.0,155.38
128,2023-05-07,0.0,0.0,415.0,130.35
128,2023-05-08,0.0,0.0,782.0,191.04580047607422
128,2023-05-09,0.0,0.0,820.0,216.0716000366211
128,2023-05-10,0.0,0.0,523.0,193.07
128,2023-05-11,0.0,0.0,768.0,196.71
128,2023-05-12,0.0,0.0,473.0,139.44
128,2023-05-13,0.0,0.0,768.0,204.5
128,2023-05-14,0.0,0.0,600.0,179.93
128,2023-05-15,0.0,0.0,602.0999755859375,198.79329956054687
128,2023-05-16,0.0,0.0,800.0,178.88
128,2023-05-17,0.0,0.0,586.0,209.14
128,2023-05-18,0.0,0.0,700.0,173.15
128,2023-05-19,0.0,0.0,552.0,120.79
128,2023-05-20,0.0,0.0,597.0,127.28
128,2023-05-21,0.0,0.0,406.0,100.49650001525879
128,2023-05-22,0.0,0.0,782.0,240.69080017089843
128,2023-05-23,0.0,0.0,900.0,206.43099975585938
128,2023-05-24,0.0,0.0,422.0,154.5716000366211
128,2023-05-25,0.0,0.0,337.0,137.98
128,2023-05-26,0.0,0.0,488.0,159.36
128,2023-05-27,0.0,0.0,600.0,155.61300003051758
128,2023-05-28,0.0,0.0,1000.0,228.34
128,2023-05-29,0.0,0.0,590.0,165.14940032958984
128,2023-05-30,0.0,0.0,705.0,163.94700042724608
128,2023-05-31,0.0,0.0,600.0,218.23
128,2023-06-01,0.0,0.0,700.0,219.58
128,2023-06-02,0.0,0.0,337.0,120.1
128,2023-06-03,0.0,0.0,723.0,154.1065000152588
128,2023-06-04,0.0,0.0,817.0,175.78
128,2023-06-05,0.0,0.0,900.0,249.46670043945312
128,2023-06-06,0.0,0.0,705.0,178.82099975585936
128,2023-06-07,0.0,0.0,842.0,232.68
128,2023-06-08,0.0,0.0,850.0,230.97
128,2023-06-09,0.0,0.0,589.0,163.97
128,2023-06-10,0.0,0.0,639.0,147.09650001525878
128,2023-06-11,0.0,0.0,240.0,127.64
128,2023-06-12,0.0,0.0,900.0,202.14299926757812
128,2023-06-13,0.0,0.0,700.0,195.4516000366211
128,2023-06-14,0.0,0.0,875.0,259.76
128,2023-06-15,0.0,0.0,464.0,127.07
128,2023-06-16,0.0,0.0,768.0,178.08
128,2023-06-17,0.0,0.0,639.0,186.34
128,2023-06-18,0.0,0.0,415.0,123.84
128,2023-06-19,0.0,0.0,1000.0,227.7947006225586
128,2023-06-20,0.0,0.0,518.0,153.8826998901367
128,2023-06-21,0.0,0.0,523.0,176.38
128,2023-06-22,0.0,0.0,790.0,263.51
128,2023-06-23,0.0,0.0,488.0,175.92
128,2023-06-24,0.0,0.0,573.0,149.92
128,2023-06-25,0.0,0.0,639.0,169.78
128,2023-06-26,0.0,0.0,967.0,249.66099975585936
128,2023-06-27,0.0,0.0,842.0,183.12
128,2023-06-28,0.0,0.0,752.0,216.58
128,2023-06-29,0.0,0.0,456.0,160.68
128,2023-06-30,0.0,0.0,780.0,197.37269989013672
128,2023-07-01,0.0,0.0,527.0,124.45300003051757
128,2023-07-02,0.0,0.0,302.0,110.03
128,2023-07-03,0.0,0.0,602.0999755859375,181.06099975585937
128,2023-07-04,0.0,0.0,639.0,176.16160003662108
128,2023-07-05,0.0,0.0,705.0,204.25
128,2023-07-06,0.0,0.0,708.0,235.25
128,2023-07-07,0.0,0.0,473.0,136.81
128,2023-07-08,0.0,0.0,597.0,152.18
128,2023-07-09,0.0,0.0,898.0,206.88
109,2023-04-01,0.0,0.0,0.0,60.218300075531005
109,2023-04-02,0.0,0.0,0.0,46.52510009765625
109,2023-04-03,0.0,0.0,0.0,109.82
109,2023-04-04,0.0,0.0,0.0,67.20099975585937
109,2023-04-05,0.0,0.0,0.0,75.77730094909668
109,2023-04-06,0.0,0.0,0.0,99.18869812011718
109,2023-04-07,0.0,0.0,0.0,102.27559814453124
109,2023-04-08,0.0,0.0,0.0,83.2227001953125
109,2023-04-09,0.0,0.0,0.0,67.4
109,2023-04-10,0.0,0.0,0.0,217.34
109,2023-04-11,0.0,0.0,0.0,147.49540031433105
109,2023-04-12,0.0,0.0,0.0,50.5051000213623
109,2023-04-13,0.0,0.0,0.0,5.5
109,2023-04-14,0.0,0.0,0.0,26.12
109,2023-04-15,0.0,0.0,0.0,124.05939809799195
109,2023-04-16,0.0,0.0,0.0,96.09429809570312
109,2023-04-17,0.0,0.0,0.0,197.24
109,2023-04-18,0.0,0.0,500.0,131.99359985351563
109,2023-04-19,0.0,0.0,0.0,36.05320007324219
109,2023-04-20,0.0,0.0,0.0,10.100999755859375
109,2023-04-21,0.0,0.0,0.0,174.8556982421875
109,2023-04-22,0.0,0.0,0.0,0.0
109,2023-04-23,0.0,0.0,0.0,108.0
109,2023-04-24,0.0,0.0,0.0,252.95
109,2023-04-25,0.0,0.0,0.0,112.4802001953125
109,2023-04-26,0.0,0.0,0.0,75.63800048828125
109,2023-04-27,0.0,0.0,0.0,0.0
109,2023-04-28,0.0,0.0,0.0,20.0
109,2023-04-29,0.0,0.0,0.0,66.26410034179688
109,2023-04-30,0.0,0.0,0.0,51.363900146484376
109,2023-05-01,0.0,0.0,0.0,23.2
109,2023-05-02,0.0,0.0,0.0,93.0277001953125
109,2023-05-03,0.0,0.0,0.0,54.17000045776367
109,2023-05-04,0.0,0.0,0.0,45.10199951171875
109,2023-05-05,0.0,0.0,0.0,146.31109619140625
109,2023-05-06,0.0,0.0,0.0,39.8002001953125
109,2023-05-07,0.0,0.0,0.0,69.2
109,2023-05-08,0.0,0.0,0.0,108.4277001953125
109,2023-05-09,0.0,0.0,800.0,168.24450012207032
109,2023-05-10,0.0,0.0,0.0,81.13800048828125
109,2023-05-11,0.0,0.0,0.0,19.15419982910156
109,2023-05-12,0.0,0.0,0.0,30.100999755859377
109,2023-05-13,0.0,0.0,0.0,58.07840026855469
109,2023-05-14,0.0,0.0,0.0,123.4502001953125
109,2023-05-15,0.0,0.0,0.0,170.79
109,2023-05-16,0.0,0.0,0.0,159.2161999511719
109,2023-05-17,0.0,0.0,0.0,86.72490043640137
109,2023-05-18,0.0,0.0,0.0,21.70199951171875
109,2023-05-19,0.0,0.0,0.0,215.20529418945313
109,2023-05-20,0.0,0.0,0.0,96.29020009994507
109,2023-05-21,0.0,0.0,0.0,18.59020009994507
109,2023-05-22,0.0,0.0,0.0,102.24430053710938
109,2023-05-23,0.0,0.0,500.0,111.46679992675782
109,2023-05-24,0.0,0.0,0.0,128.95700073242188
109,2023-05-25,0.0,0.0,0.0,101.18199951171874
109,2023-05-26,0.0,0.0,0.0,115.15559814453125
109,2023-05-27,0.0,0.0,0.0,70.0
109,2023-05-28,0.0,0.0,0.0,107.12510009765624
109,2023-05-29,0.0,0.0,0.0,274.52
109,2023-05-30,0.0,0.0,0.0,93.21260009765625
109,2023-05-31,0.0,0.0,0.0,28.24410026550293
109,2023-06-01,0.0,0.0,0.0,50.319000244140625
109,2023-06-02,0.0,0.0,0.0,11.00010009765625
109,2023-06-03,0.0,0.0,0.0,28.0
109,2023-06-04,0.0,0.0,0.0,53.5
109,2023-06-05,0.0,0.0,100.0,184.98
109,2023-06-06,0.0,0.0,0.0,45.555400390625
109,2023-06-07,0.0,0.0,0.0,79.62990051269531
109,2023-06-08,0.0,0.0,0.0,0.0
109,2023-06-09,0.0,0.0,0.0,155.31099609375
109,2023-06-10,0.0,0.0,0.0,30.06510000228882
109,2023-06-11,0.0,0.0,0.0,97.32510009765625
109,2023-06-12,0.0,0.0,0.0,144.77
109,2023-06-13,0.0,0.0,0.0,177.9590002441406
109,2023-06-14,0.0,0.0,0.0,49.13170036315918
109,2023-06-15,0.0,0.0,0.0,30.92
109,2023-06-16,0.0,0.0,0.0,52.74
109,2023-06-17,0.0,0.0,0.0,24.26510000228882
109,2023-06-18,0.0,0.0,0.0,26.52510009765625
109,2023-06-19,0.0,0.0,0.0,195.72
109,2023-06-20,0.0,0.0,0.0,59.7777001953125
109,2023-06-21,0.0,0.0,0.0,23.053200073242188
109,2023-06-22,0.0,0.0,0.0,30.0
109,2023-06-23,0.0,0.0,0.0,31.885200099945067
109,2023-06-24,0.0,0.0,0.0,30.631199760437013
109,2023-06-25,0.0,0.0,0.0,21.26510000228882
109,2023-06-26,0.0,0.0,0.0,116.87
109,2023-06-27,0.0,0.0,0.0,67.44130004882813
109,2023-06-28,0.0,0.0,0.0,29.372200317382813
109,2023-06-29,0.0,0.0,0.0,31.72809928894043
109,2023-06-30,0.0,0.0,0.0,0.62
109,2023-07-01,0.0,0.0,0.0,60.238800048828125
109,2023-07-02,0.0,0.0,0.0,94.2
109,2023-07-03,0.0,0.0,0.0,80.34
109,2023-07-04,0.0,0.0,500.0,216.13380004882814
109,2023-07-05,0.0,0.0,0.0,78.56310050964356
109,2023-07-06,0.0,0.0,0.0,28.20199951171875
109,2023-07-07,0.0,0.0,0.0,14.938400173187256
109,2023-07-08,0.0,0.0,0.0,25.5
109,2023-07-09,0.0,0.0,0.0,21.86510000228882
13,2023-04-01,311067.65625,425736.9375,633911.0,450029.75578125
13,2023-04-02,334047.125,511830.125,643238.625,489735.406875
